ingredient,adverse_report_count,clinical_trial_count,review_count,quadrant
melatonin,54666,1292,1808,YELLOW
turmeric,16045,158,607,RED
ashwagandha,312,29,65,GRAY
berberine,881,116,325,GRAY
collagen,3565,6614,5646,YELLOW
milk thistle,4692,48,96,RED
magnesium,211450,4782,3360,YELLOW
omega-3,41195,1739,2692,YELLOW
probiotics,18810,1386,3413,YELLOW
vitamin D,259111,3748,6006,YELLOW
zinc,39701,3400,4145,YELLOW
NAC,1509,1053,1276,GREEN
CoQ10,8287,141,268,RED
glutathione,2035,2860,3012,GREEN
lutein,6994,253,335,RED
saw palmetto,4080,68,46,RED
garcinia,368,17,94,GRAY
green tea extract,280,84,165,GRAY
spirulina,480,52,128,GRAY
chlorella,291,19,68,GRAY
maca,166,35,53,GRAY
rhodiola,189,24,104,GRAY
ginseng,1619,299,809,GREEN
MSM,2425,771,1463,YELLOW
glucosamine,36039,522,430,YELLOW
chondroitin,15695,445,418,RED
hyaluronic acid,1421,1352,1663,GREEN
biotin,34577,1647,383,YELLOW
folate,5401,1861,2268,YELLOW
iron,84684,6810,6182,YELLOW
calcium,569909,21451,13366,YELLOW
L-theanine,286,15,48,GRAY
GABA,298,2060,2335,GREEN
5-HTP,459,77,52,GRAY
creatine,983,5594,2543,GREEN
beta-alanine,34,134,113,GRAY
quercetin,1436,261,883,GREEN
resveratrol,1143,139,796,GRAY
apple cider vinegar,1336,2,25,GRAY
psyllium,4074,195,188,RED
